item_name,size,synonyms,Ingredients
Chicagos Best Pizza,Personal,"*Personal Chicagos Pizza,Chicago Pizza Personal, Chicagos Pizza, Chicago Pizza,Personal Chicago,Chicago,Chicagos Best,Meat Lover, Meat Lover Pizza, Meat Lovers, Meat Lovers Pizza*",Roasted Corn
Chicagos Best Pizza,Small,"*Small Chicagos Pizza,Small Chicago Pizza, Chicagos Pizza, Chicago Pizza,Chicago,Small Chicago,Chicagos Best,Meat Lover, Meat Lover Pizza, Meat Lovers, Meat Lovers Pizza*",Pineapple
Chicagos Best Pizza,Large,"*Large Chicagos Pizza,Large Chicago Pizza, Chicagos Pizza, Chicago Pizza,Chicago,Large Chicago,Chicagos Best,Meat Lover, Meat Lover Pizza, Meat Lovers, Meat Lovers Pizza*",Extra Pineapple
Chicagos Best Pizza,Extra Large,"*Extra Large Chicagos Pizza,Extra Large Chicago Pizza, Chicagos Pizza, Chicago Pizza,Chicago,Extra Large Chicago,Chicagos Best,Meat Lover, Meat Lover Pizza, Meat Lovers, Meat Lovers Pizza*",Light Pizza Sauce
Chicagos Best Pizza,Gluten Free,"*Gluten Free Chicagos Pizza,Gluten Free Chicago Pizza, Chicagos Pizza, Chicago Pizza,Chicago,Gluten Free Chicago,Chicagos Best,Meat Lover, Meat Lover Pizza, Meat Lovers, Meat Lovers Pizza*",Light White Sauce
Double Pepperoni Pizza,Personal,"*Personal Double Pepp Pizza,Personal Double Pepperoni Pie,Personal Pizza with Double Pepperoni,Double Pepperoni*",Extra Pizza Sauce
Double Pepperoni Pizza,Small,"*Small Double Pepp Pizza,Small Double Pepperoni Pie,Small Pizza with Double Pepperoni,Double Pepperoni*",Extra White Sauce
Double Pepperoni Pizza,Large,"*Large Double Pepp Pizza,Large Double Pepperoni Pie,Large Pizza with Double Pepperoni,Double Pepperoni*",Side Pizza Sauce
Double Pepperoni Pizza,Extra Large,"*Extra Large Double Pepp Pizza,Extra Large Double Pepperoni Pie,Extra Large Pizza with Double Pepperoni,Double Pepperoni*",White Sauce
Double Pepperoni Pizza,Gluten Free,"*Double Pepp Pizza Gluten Free,Gluten Free Double Pepperoni Pie,Gluten Free Pizza with Double Pepperoni,Double Pepperoni*",Side White Sauce
Garlic Fireball Pizza,Personal,"*Personal Fireball Pizza,garlic fireball,garlic fire ball,garlic fire ball pizza,garlic pizza,fireball,fireball pizza*",Pomodoro Sauce
Garlic Fireball Pizza,Small,"*Small Fireball Pizza, garlic fireball, garlic fire ball, garlic fire ball pizza,garlic pizza,fireball,fireball pizza*",House Gorgonzola
Garlic Fireball Pizza,Large,"*Large Fireball Pizza, garlic fireball, garlic fire ball, garlic fire ball pizza,garlic pizza,fireball,fireball pizza*",Bleu Cheese
Garlic Fireball Pizza,Extra Large,"*Extra Large Fireball Pizza, garlic fireball, garlic fire ball, garlic fire ball pizza,garlic pizza,fireball,fireball pizza*",Lite Italian
Garlic Fireball Pizza,Gluten Free,"*Gluten Free Fireball Pizza, garlic fireball, garlic fire ball, garlic fire ball pizza,garlic pizza,fireball,fireball pizza*",French Dressing
The 1947 Pizza,Personal,"*Personal 1947 Pizza,Personal Nineteen forty seven Pizza,Personal One nine four seven Pizza*",Caesar Dressing
The 1947 Pizza,Small,"*Small 1947 Pizza,Small Nineteen forty seven Pizza,Small One nine four seven Pizza,1947 small pizza*",Balsamic Vinaigrette
The 1947 Pizza,Large,"*Large 1947 Pizza,Large Nineteen forty seven Pizza,Large One nine four seven Pizza the 1947 large pizza,1947 large pizza, The 1947 large pizza,1947 large pizza*",Pizza Sauce Drizzle
The 1947 Pizza,Extra Large,"*Extra Large 1947 Pizza,Extra Large Nineteen forty seven Pizza,Extra Large One nine four seven Pizza*",Extra Pizza Sauce Drizzle
The 1947 Pizza,Gluten Free,"*Gluten Free 1947 Pizza,Gluten Free Nineteen forty seven Pizza,Gluten Free One nine four seven Pizza*",Raspberry Vinaigrette
Carolina Barbecue Chicken Pizza,Personal,"*Personal Carolina Chicken Pizza,Personal Carolina Barbecue Pizza,Personal Carolina Barbeque Pizza,Personal Carolina Barbecue Pizza, Carolina bbq Pizza, Carolina bbq chicken Pizza,Carolina BBQ Chicken,Carolina BBQ,Carolina Barbecue,Carolina Barbeque,Carolina,carolina barbeque chicken*",Harvest Vinaigrette
Carolina Barbecue Chicken Pizza,Small,"*Small Carolina Chicken Pizza,Small Carolina Barbecue Pizza,Small Carolina Barbeque Pizza,Small Carolina Barbecue Pizza, Carolina bbq Pizza, Carolina bbq chicken Pizza,Carolina BBQ Chicken,Carolina BBQ,Carolina Barbecue,Carolina Barbeque,Carolina,carolina barbeque chicken*",Apple Cider Vinaigrette
Carolina Barbecue Chicken Pizza,Large,"*Large Carolina Chicken Pizza,Large Carolina Barbecue Pizza,Large Carolina Barbeque Pizza,Large Carolina Barbecue Pizza, Carolina bbq Pizza, Carolina bbq chicken Pizza,Carolina BBQ Chicken,Carolina BBQ,Carolina Barbecue,Carolina Barbeque,Carolina,carolina barbeque chicken*",Hot and Mild Sauce
Carolina Barbecue Chicken Pizza,Extra Large,"*Extra Large Carolina Chicken Pizza,Extra Large Carolina Barbecue Pizza,Extra Large Carolina Barbeque Pizza,Extra Large Carolina Barbecue Pizza, Carolina bbq Pizza, Carolina bbq chicken Pizza,Carolina BBQ Chicken,Carolina BBQ,Carolina Barbecue,Carolina Barbeque,Carolina,carolina barbeque chicken*",Golden Buffalo Sauce
Carolina Barbecue Chicken Pizza,Gluten Free,"*Gluten Free Carolina Chicken Pizza,Gluten Free Carolina Barbecue Pizza,Gluten Free Carolina Barbeque Pizza,Gluten Free Carolina Barbecue Pizza, Carolina bbq Pizza, Carolina bbq chicken Pizza,Carolina BBQ Chicken,Carolina BBQ,Carolina Barbecue,Carolina Barbeque,Carolina,carolina barbeque chicken*",Lemon Pepper Dry Rub
Buffalo Chicken Pizza,Personal,"*Personal Buffalo Pizza, Buffalo Chicken, Chicken Buffalo Pizza,Buffalo*",Barbecue Sauce
Buffalo Chicken Pizza,Small,"*Small Buffalo Pizza, Buffalo Chicken, Chicken Buffalo Pizza,Buffalo*",Extra Barbecue Sauce
Buffalo Chicken Pizza,Large,"*Large Buffalo Pizza, Buffalo Chicken, Chicken Buffalo Pizza,Buffalo*",Fire Sauce
Buffalo Chicken Pizza,Extra Large,"*Extra Large Buffalo Pizza, Buffalo Chicken, Chicken Buffalo Pizza,Buffalo*",Ranch Dressing
Buffalo Chicken Pizza,Gluten Free,"*Gluten Free Buffalo Pizza, Buffalo Chicken, Chicken Buffalo Pizza,Buffalo*",Medium Sauce
Spicy Nicky Pizza,Personal,"*Personal Spicy Pizza,Personal Nicky Pizza,Personal Nickys Pizza,Personal Nickies Pizza,Personal Spicy Nicky,spicy nikki pizza,spicy nikki*",Extra Golden Barbecue Sauce
